FID,segmentid,street,boro,facilitycl,fromstreet,tostreet,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
663,147525,OLD FULTON ST,3,II,FURMAN ST,HENRY ST,ON,II,2009-12-09T00:00:00,2009-12-09T00:00:00, ,R,1,Curbside, 
664,56109,KEW GDNS RD,4,III,80 RD,83 AV,ON,III,2000-01-01T00:00:00,2010-06-01T00:00:00, ,2,2,Sharrows,Sharrows
665,300945,EAST DR,1,I,TERRACE DR,CENTRAL PARK N,ON,I,1979-05-01T00:00:00,1979-05-01T00:00:00,Central Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
666,29470,CLASSON AVE,3,II,PUTNAM AVE,MYRTLE AVE,ON,II,2012-06-08T00:00:00,2017-08-24T00:00:00, ,L,1, ,Standard
667,130583,31 AVE,4,II,74 ST,101 ST,ON,"II,III",2016-10-14T00:00:00,2016-10-14T00:00:00, ,2,2,Standard,Sharrows
668,9000173,27 AV,4,II,1 ST,8 ST,ON,II,2008-07-31T00:00:00,2008-07-31T00:00:00, ,2,2,Standard,Standard
669,129944,20 AVE,4,I,SHORE BLVD,35 ST,ON,I,2016-11-18T00:00:00,2016-11-18T00:00:00, ,2,2,Protected Path,Protected Path
670,68061,SKILLMAN AV,4,I,56 ST,48 ST,ON,I,2009-11-01T00:00:00,2018-10-25T00:00:00, ,L,1, ,Protected Path
671,172581,QUEENS PLZ N,4,I,QUEENS BLVD,VERNON BLVD,OFF,I,1979-07-01T00:00:00,2010-10-01T00:00:00,Cross with Ped Signals,2,2,Greenway,Greenway
672,45004,HARMAN ST,3,II,WOODWARD AV,EVERGREEN AV,ON,II,2018-12-31T00:00:00,2018-12-31T00:00:00, ,L,1, ,Standard
673,9002853,AMSTERDAM AVE,1,I,72 ST,110 ST,ON,I,2016-12-23T00:00:00,2016-12-23T00:00:00, ,R,1,Protected Path, 
674,89570,E 233 ST,2,II,LACONIA AVE,EDSON AVE,ON,II,2012-08-13T00:00:00,2017-10-06T00:00:00, ,2,2,Standard,Standard
675,34442,RIVERSIDE DR,1,III,W 78 ST,W 79 ST,ON,III,2006-09-01T00:00:00,2006-09-01T00:00:00, ,2,2,Sharrows,Sharrows
676,147500,1 AVE,1,II,48 ST,49 ST,ON,II,2003-08-01T00:00:00,2011-07-22T00:00:00, ,R,1,Curbside, 
677,9002364,3 AV,2,II,E 146 ST,MORRIS AV,ON,II,2009-07-01T00:00:00,2009-07-01T00:00:00, ,2,2,Standard,Standard
678,109560,SURF AV,3,III,OCEAN PKWY,W 17 ST,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,2,2,Signed Route,Signed Route
679,222971,7 AVE,1,I,W 30 ST,W 12 ST,ON,I,2017-12-29T00:00:00,2017-12-29T00:00:00, ,L,1, ,Protected Path
680,35470,LEONARD ST,3,II,GREENPOINT AV,MOORE ST,ON,II,2008-05-01T00:00:00,2008-05-01T00:00:00, ,L,1, ,Standard
681,145322,CO-OP CITY BOULEVARD,2,II,DREISER LOOP,BARTOW AVE,ON,II,2013-07-30T00:00:00,2013-07-30T00:00:00, ,L,1, ,Standard
682,164242,LA GUARDIA PL,1,III,W HOUSTON ST,W 3 ST,ON,III,2013-11-26T00:00:00,2013-11-26T00:00:00, ,2,2,Sharrows,Sharrows
683,31707,WASHINGTON ST,1,II,GANSEVOORT ST,CANAL ST,ON,II,2008-04-01T00:00:00,2008-04-01T00:00:00, ,L,1, ,Standard
684,240810,CLARKSON ST,1,III,WEST ST,GREENWICH ST,ON,III,2007-11-01T00:00:00,2007-11-01T00:00:00, ,L,1, ,Signed Route
685,15550,BAY ST,5,III,RICHMOND TER,MINTHORNE ST,ON,III,1980-07-01T00:00:00,2009-12-15T00:00:00, ,2,2,Sharrows,Sharrows
686,172845,SHORE BLVD,4,III,12 ST,ASTORIA PARK S,ON,III,2008-07-01T00:00:00,2008-07-01T00:00:00, ,L,1, ,Sharrows
687,0,BROOKFIELD PARK GWY,5,I,BROOKFIELD PARK GWY ENTRY DRIVE,BROOKFIELD PARK GWY,OFF,I,2017-12-12T00:00:00,2017-12-12T00:00:00, ,2,2,Greenway,Greenway
688,29860,BROOKLYN AVENUE,3,II,PACIFIC ST,ST JOHNS PL,ON,II,2003-11-01T00:00:00,2015-06-01T00:00:00, ,R,1,Standard, 
689,22185,CLINTON ST,3,II,HAMILTON AV,TILLARY ST,ON,II,2003-04-01T00:00:00,2003-04-01T00:00:00, ,L,1, ,Standard
690,68731,HOYT AV N,4,I,27 ST,19 ST,ON,I,2010-07-01T00:00:00,2017-04-28T00:00:00, ,2,2,Protected Path,Protected Path
691,155625,CROSS BAY BLVD,4,II,CROSS BAY BR,165 AV,ON,II,1997-05-01T00:00:00,1997-05-01T00:00:00, ,R,1,Standard, 
692,29715,E NEW YORK AV,3,II,NEW YORK AV,UTICA AV,ON,II,2007-06-01T00:00:00,2007-06-01T00:00:00, ,L,1, ,Standard
693,9003377,W 55 ST,1,I,9 AV,12 AV,ON,I,2013-04-08T00:00:00,2019-11-06, ,R,1,Protected Path, 
694,19472,BATH AV,3,III,14 AV,BAY 19 ST,ON,III,2018-10-09T00:00:00,2018-10-09T00:00:00, ,2,2,Sharrows,Sharrows
695,163464,AV H,3,III,CAMPUS RD,OCEAN PKWY,ON,III,2009-07-01T00:00:00,2009-07-01T00:00:00, ,2,2,Sharrows,Sharrows
696,23561,LAFAYETTE ST,1,II,SPRING ST,READE ST,ON,II,2007-09-01T00:00:00,2007-09-01T00:00:00, ,L,1, ,Curbside
697,9007983,SANDS ST,3,I,NAVY ST,JAY ST GREENWAY,ON,I,2009-11-01T00:00:00,2009-11-01T00:00:00, ,R,1,Protected Path, 
698,109338,THROOP AV,3,II,FLUSHING AV,FULTON ST,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,L,1, ,Standard
699,78616,FREEMAN ST,2,III,REV JAMES POLITE AV,SOUTHERN BLVD,ON,III,2012-06-05T00:00:00,2012-06-05T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
700,36968,44 DR,4,II,VERNON BLVD,JACKSON AV,ON,II,2011-06-17T00:00:00,2011-06-17T00:00:00, ,2,2,Standard,Standard
701,57273,89 AV,4,II,PARSONS BLVD,SUTPHIN BLVD,ON,II,2007-09-01T00:00:00,2007-09-01T00:00:00, ,L,1, ,Standard
702,67253,29 ST,4,II,QUEENS PLZ N,34 AV,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,L,1, ,Standard
703,72657,SEAMAN AV,1,II,DYCKMAN ST,W 215 ST,ON,"II,III",2003-06-01T00:00:00,2003-06-01T00:00:00,"changed to shared SB, lane NB",2,2,Standard,Sharrows
704,297843,W 51 ST,1,II,BROADWAY,5 AV,ON,II,2012-09-21T00:00:00,2012-09-21T00:00:00, ,R,1,Standard, 
705,230743,OCEAN PKWY,3,I,SEA BREEZE AV,CHURCH AV,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00,Bicycling Permitted on West Mall Only,2,2,Greenway,Greenway
706,9003976,BURKE AV,2,III,EAST GUNHILL RD,LACONIA AVE,ON,III,2014-09-26T00:00:00,2014-09-26T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
707,177418,KEARNEY ST,4,III,ASTORIA BLVD,27 AVE,ON,III,2016-10-14T00:00:00,2016-10-14T00:00:00, ,L,1, ,Sharrows
708,81126,BROADWAY,2,I,LAKEVIEW PL,W 256 ST,ON,I,2012-11-01T00:00:00,2018-09-21T00:00:00, ,2,2,Protected Path,Protected Path
709,147736,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,R,1,Standard, 
710,48094,DUMONT AV,3,II,NEW LOTS AV,SNEDIKER AV,ON,II,2015-10-01T00:00:00,2015-10-01T00:00:00, ,L,1, ,Standard
711,156673,ROCKAWAY BEACH BLVD,4,II,JACOB RIIS BOARDWALK,BEACH 126 ST,ON,II,2008-11-14T00:00:00,2008-11-14T00:00:00, ,L,1, ,Curbside
712,293709,E 70 ST,1,II,5 AVE,1 AVE,ON,II,2016-08-10T00:00:00,2016-08-10T00:00:00, ,R,1,Standard, 
713,103618,ELIOT AVE,4,II,69 ST,WOODHAVEN BLVD,ON,II,2016-10-31T00:00:00,2016-11-25T00:00:00, ,2,2,Standard,Standard
714,280433,W 242 ST,2,III,MANHATTAN COLLEGE PKWY,VAN CORTLANDT PARK GREENWAY,ON,III,2009-05-27T00:00:00,2009-05-27T00:00:00, ,2,2,Sharrows,Sharrows
715,31657,WASHINGTON ST,1,II,GANSEVOORT ST,CANAL ST,ON,II,2008-04-01T00:00:00,2008-04-01T00:00:00, ,L,1, ,Standard
716,168129,VANDALIA AVENUE,3,II,VAN SICLEN AVE,BETHEL LOOP,ON,II,2014-09-10T00:00:00,2014-09-10T00:00:00, ,2,2,Standard,Standard
717,23002,BRIDGE ST,1,III,STATE ST,BROAD ST,ON,III,2017-05-09T00:00:00,2017-10-15T00:00:00, ,R,1,Sharrows, 
718,168237,MOTHER GASTON BOULEVARD,3,II,LIBERTY AV,LINDEN BLVD,ON,II,2013-06-07T00:00:00,2013-06-07T00:00:00, ,2,2,Standard,Standard
719,237260,SHORE RD GREENWAY,2,I,PELHAM BR,PARK DR,OFF,I,1999-10-01T00:00:00,1999-10-01T00:00:00, ,2,2,Greenway,Greenway
720,78540,E TREMONT AVE,2,III,PARK AVE,MONTEREY AVE,ON,III,2016-05-20T00:00:00,2016-05-20T00:00:00, ,2,2,Sharrows,Sharrows
721,144820,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2008-11-01T00:00:00,2008-11-01T00:00:00, ,L,1, ,Standard
722,100798,WINCHESTER BLVD,4,II,BRADDOCK AV,UNION TP,ON,II,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Standard,Standard
723,19387,14 AV,3,III,CROPSEY AV,BATH AV,ON,III,2018-10-09T00:00:00,2018-10-09T00:00:00, ,2,2,Sharrows,Sharrows
724,233001,SHORE PKWY GREENWAY,4,I,SHORE PKWY,84 ST,OFF,I,1941-01-01T00:00:00,1941-01-01T00:00:00, ,2,2,Greenway,Greenway
725,300159,TER DR,1,II,EAST DR,WEST DR,ON,I,1979-05-01T00:00:00,2018-06-27,Autos limited 2012-07-09.  Fully auto free 2018-06-27,2,2,Greenway,Greenway
726,237001,W 29 ST,1,II,10 AV,11 Av,ON,I,2011-11-15T00:00:00,2018-08-31T00:00:00, ,R,1,Protected Path, 
727,35107,BANKER ST,3,II,NASSAU AV,FRANKLIN ST,ON,II,2007-09-01T00:00:00,2007-09-01T00:00:00, ,R,1,Standard, 
728,45362,KNICKERBOCKER AVE,3,II,COOPER AVE,FLUSHING AVE,ON,II,2016-08-26T00:00:00,2016-08-26T00:00:00, ,L,1, ,Standard
729,20823,7 AV,3,III,42 ST,65 ST,ON,III,2001-11-01T00:00:00,2016-04-01T00:00:00,downgraded to shared 2016,2,2,Sharrows,Sharrows
730,87869,BRONXWOOD AVENUE,2,II,BURKE AVE,E 233 ST,ON,II,2013-09-25T00:00:00,2017-10-06T00:00:00, ,2,2,Standard,Standard
731,136853,VANDALIA AV,3,II,GATEWAY DR,SCHENCK AV,ON,II,2003-01-01T00:00:00,2003-01-01T00:00:00, ,L,1, ,Curbside
732,28440,CLARENDON RD,3,II,FLATBUSH AV,RALPH AV,ON,II,2008-06-13T00:00:00,2008-06-13T00:00:00, ,2,2,Standard,Standard
733,84101,PERIMETER RD,4,III,AMPHITHEATRE BR,BOTANICAL GRDN BR,ON,III,2000-01-01T00:00:00,2000-01-01T00:00:00, ,R,1,Signed Route, 
734,117083,172 ST,4,II,UNION TPKE,73 AVE,ON,II,2017-12-15T00:00:00,2017-12-15T00:00:00, ,L,1, ,Standard
735,10338,S RAILROAD AV,5,III,GUYON AV,BEACH AV,ON,III,2009-06-01T00:00:00,2009-06-01T00:00:00, ,2,2,Sharrows,Sharrows
736,242404,BX SHORE RD,1,I,HARLEM RIVER PATHWAY,ROBERT F KENNEDY BR,OFF,I,1936-01-01T00:00:00,1936-01-01T00:00:00, ,2,2,Greenway,Greenway
737,310165,SPRUCE ST,1,II,NASSAU ST,GOLD ST,ON,II,2017-05-09T00:00:00,2017-05-09T00:00:00, ,R,1,Standard, 
738,9007793,ALLEN ST,1,I,E HOUSTON ST,CANAL ST,ON,I,2004-06-01T00:00:00,2009-08-01T00:00:00, ,L,1, ,Protected Path
739,146081,E 20 ST,1,I,1 AV,AV C,ON,I,2007-04-01T00:00:00,2018-12-26T00:00:00, ,2,2,Protected Path,Protected Path
740,108751,MARGARET CORBIN DR,1,II,FT WASHINGTON AV,FORT TRYON PL,ON,II,1999-01-01T00:00:00,1999-01-01T00:00:00, ,2,2,Curbside,Curbside
741,28871,PROSPECT PARK W,3,I,PROSPECT PARK SW,PLAZA ST W,ON,I,2010-06-01T00:00:00,2012-12-13T00:00:00, ,2,2,Protected Path,Protected Path
742,21373,14 AVE,3,III,60 ST,36 ST,ON,III,2015-10-01T00:00:00,2015-10-01T00:00:00, ,L,1, ,Bike-Friendly Parking
743,38483,MORNINGSIDE DR,1,III,W 116 ST,W 124 ST,ON,III,2014-07-01T00:00:00,2014-07-01T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
744,9009129,GRAND ST,1,II,FDR W LA DR,JACKSON ST,ON,II,2006-10-01T00:00:00,2006-10-01T00:00:00, ,2,2,Standard,Standard
745,76251,32 AVE,4,II,93 ST,74 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,L,1, ,Standard
746,297620,HARLEM RIVER PATHWAY,1,I,WARDS ISLAND GREENWAY,BX SHORE RD,OFF,I,1936-01-01T00:00:00,1936-01-01T00:00:00, ,2,2,Greenway,Greenway
747,22769,3 AV,3,II,DEAN ST,15 ST,ON,II,1980-07-01T00:00:00,1980-07-01T00:00:00, ,R,1,Standard, 
748,164028,S 3 ST,3,II,ROEBLING ST,BORINQUEN PL,ON,II,2009-04-28T00:00:00,2009-04-28T00:00:00, ,R,1,Standard, 
749,9003717,PACIFIC ST,3,II,BROOKLYN AV,HOPKINSON AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,L,1, ,Standard
750,194624,F D R DR,1,I,WATERSIDE PLAZA ENTRANCE,E 28 ST,ON,I,2003-08-01T00:00:00,2019-08-12,upgraded to 2-way path,2,2,Protected Path,Protected Path
751,9009818,ST ANNS AV,2,III,E 135 ST,E 149 ST,ON,III,2003-05-01T00:00:00,2003-05-01T00:00:00, ,2,2,Sharrows,Sharrows
752,37419,COLUMBUS AV,1,I,W 96 ST,W 77 ST,ON,I,2010-08-01T00:00:00,2010-08-01T00:00:00, ,L,1, ,Protected Path
753,31702,CHRISTOPHER ST,1,II,WEST ST,AV OF THE AMERICAS,ON,II,2004-11-01T00:00:00,2008-04-01T00:00:00, ,2,2,Standard,Standard
754,68472,VERNON BLVD,4,I,33 RD,HALLETS COVE ESPLANADE,ON,"I,III",2008-07-31T00:00:00,2015-07-10T00:00:00,2013 - two way lane added on west curb. 2015 - jersey barriers added to provide protection,2,3,Protected Path,Sharrows
755,254229,MARGARET CORBIN DR,1,II,FT WASHINGTON AV,FORT TRYON PL,ON,II,1999-01-01T00:00:00,1999-01-01T00:00:00, ,2,2,Curbside,Curbside
756,22167,W 9 ST,3,II,SMITH ST,HAMILTON AV,ON,II,2007-07-01T00:00:00,2009-07-01T00:00:00, ,L,1, ,Curbside
757,162685,PIKE ST,1,I,CHERRY ST,DIVISION ST,ON,I,2004-06-01T00:00:00,2009-08-01T00:00:00, ,R,1,Protected Path, 
758,243010,BROOKLYN BR,3,I,PARK ROW,TILLARY ST,ON,I,1966-01-01T00:00:00,1966-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
759,248653,PARK AVENUE,3,III,NAVY ST,STEUBEN ST,ON,III,2014-11-01T00:00:00,2014-11-01T00:00:00, ,R,1,Bike-Friendly Parking, 
760,158543,DR M L KING JR BLVD,2,III,W FORDHAM RD,W TREMONT AV,ON,III,2002-06-01T00:00:00,2002-06-01T00:00:00, ,L,1, ,Sharrows
761,102620,COMMONWEALTH BLVD,4,II,UNION TPKE,88 RD,ON,II,2006-08-01T00:00:00,2006-08-01T00:00:00, ,2,2,Standard,Standard
762,74553,GRAND AVE,4,II,69 AVE,74 ST,ON,II,2016-10-16T00:00:00,2016-10-16T00:00:00, ,2,2,Standard,Standard
763,113874,108 ST,4,II,NORTHERN BLVD,ASTORIA BLVD,ON,II,2016-11-01T00:00:00,2016-11-01T00:00:00, ,2,2,Standard,Standard
764,300222,EAST DR,1,I,CENTER DR,TERRACE DR,ON,I,1979-05-01T00:00:00,2018-06-27,Autos limited on 2019-07-09.  Fully auto free 2018-06-27,R,1,Greenway, 
765,18790,BATH AV,3,II,BAY 19 ST,BAY 35 ST,ON,II,2018-10-09T00:00:00,2018-10-09T00:00:00, ,2,2,Standard,Standard
766,145653,CO-OP CITY BOULEVARD,2,II,BARTOW AVE,DREISER LOOP,ON,II,2013-07-30T00:00:00,2013-07-30T00:00:00, ,R,1,Standard, 
767,311269,HUNTS PT AV,2,II,GARRISON AVE,SPOFFORD AVE,ON,II,2011-11-01T00:00:00,2011-11-01T00:00:00, ,2,2,Standard,Standard
768,29180,FULTON ST,3,III,CLERMONT AV,VANDERBILT AV,ON,III,2018-09-24T00:00:00,2018-09-24T00:00:00, ,R,1,Sharrows, 
769,9002043,WILLIS AV,2,I,E 135 ST,E 148 ST,ON,I,2008-09-18T00:00:00,2019-10-29, ,2,2,Protected Path,Protected Path
770,99963,210 St,4,I,OCEANIA ST,VANDERBILT MOTOR PARKWAY,ON,I,2017-09-12T00:00:00,2017-09-12T00:00:00, ,2,2,Protected Path,Protected Path
771,18000,FERRIS ST,3,III,KING ST,VAN DYKE ST,ON,III,1900-01-01T00:00:00,1900-01-01T00:00:00, ,2,2,Signed Route,Signed Route
772,178090,CASTLE HILL AVE,2,III,CROSS BRONX NORTH,STORY AVE,ON,III,2016-12-09T00:00:00,2016-12-09T00:00:00, ,2,2,Sharrows,Sharrows
773,111293,W 228 ST,1,II,BROADWAY,MARBLE HILL AV,ON,II,2009-05-27T00:00:00,2009-05-27T00:00:00, ,R,1,Standard, 
774,242339,COSTCO ESPLANADE,4,I,VERNON BLVD,RAINEY PARK ESPLANADE,OFF,I,1996-11-20T00:00:00,1996-11-20T00:00:00, ,2,2,Greenway,Greenway
775,37624,2 AVE,1,I,E 84 ST,E 74 ST,ON,I,2017-12-01T00:00:00,2017-12-01T00:00:00, ,L,1, ,Protected Path
776,252750,WEST DR,3,I,PP GAP ENTRANCE,W LAKE DR,OFF,I,1980-07-01T00:00:00,2012-06-20T00:00:00,Prospect Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
777,77600,GARRISON AV,2,II,LEGGETT AV,EDGEWATER RD,ON,II,2008-04-01T00:00:00,2008-04-01T00:00:00, ,2,2,Standard,Standard
778,110924,SPRING ST,1,II,VARICK ST,WOOSTER ST,ON,II,2015-07-13T00:00:00,2015-07-13T00:00:00, ,L,1, ,Standard
779,107111,SOUTHERN BLVD,2,III,ST. MARY'S STREET,WESTCHESTER AV,ON,III,2010-12-01T00:00:00,2010-12-01T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
780,149090,STATE RD,4,II,BEACH 193 ST,BEACH 169 ST,ON,II,1997-05-01T00:00:00,1997-05-01T00:00:00, ,R,1,Curbside, 
781,165612,E 59 ST,1,III,QBB on-ramp,1 AV,ON,III,2013-11-06T00:00:00,2013-11-06T00:00:00, ,2,2,Sharrows,Sharrows
782,33915,6 AV,1,I,BROADWAY,W 35 ST,ON,I,1978-07-01,2019-08-21,previously part of bikeID 100,R,1,Protected Path, 
783,130256,ELIOT AVE,4,II,69 ST,WOODHAVEN BLVD,ON,II,2016-10-31T00:00:00,2016-11-25T00:00:00, ,2,2,Standard,Standard
784,116608,EAST 222 STREET,2,II,WHITE PLAINS RD,BAYCHESTER AVE,ON,II,2013-07-12T00:00:00,2013-07-12T00:00:00, ,2,2,Standard,Standard
785,158184,4 AVENUE,3,III,PACIFIC ST,CARROLL ST,ON,III,2013-10-11T00:00:00,2013-10-11T00:00:00, ,R,1,Bike-Friendly Parking, 
786,71417,JEROME AV,2,III,E 162 ST,E 167 ST,ON,III,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Sharrows,Sharrows
787,9009131,CHERRY ST,1,III,FDR DRIVE,JACKSON ST,ON,III,2017-07-05T00:00:00,2017-07-05T00:00:00, ,L,1, ,Sharrows
788,285574,ROCKAWAY BEACH BLVD,4,II,JACOB RIIS BOARDWALK,BEACH 126 ST,ON,II,2008-11-14T00:00:00,2008-11-14T00:00:00, ,L,1, ,Curbside
789,9008744,HAVEMEYER AV,2,II,CINCINNATUS AV,LACOMBE AV,ON,II,2007-09-01T00:00:00,2007-09-01T00:00:00, ,2,2,Standard,Standard
790,44124,WILLOUGHBY AV,3,II,WASHINGTON PARK,MYRTLE AV,ON,II,2007-05-01T00:00:00,2007-05-01T00:00:00, ,R,1,Standard, 
791,9004156,LAFAYETTE AV,2,II,METCALF AV,HAVEMEYER AV,ON,II,2007-09-01T00:00:00,2007-09-01T00:00:00, ,2,2,Standard,Standard
792,292221,EAST DR,1,I,TERRACE DR,CENTRAL PARK N,ON,I,1979-05-01T00:00:00,1979-05-01T00:00:00,Central Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
793,311114,PARK LA,4,II,FOREST PARK DR,82 AV,ON,II,2000-01-01T00:00:00,2010-06-01T00:00:00, ,R,1,Standard, 
794,235381,BEACH CHANNEL DR GREENWAY,4,I,STATE RD,BEACH CHANNEL DR,OFF,I,1953-01-01T00:00:00,1953-01-01T00:00:00, ,2,2,Greenway,Greenway
795,34502,COLUMBUS AV,1,I,W 77 ST,W 69 ST,ON,I,2013-09-25T00:00:00,2013-09-25T00:00:00, ,L,1, ,Protected Path
796,9007897,ADAM C POWELL BLVD,1,III,W 133 ST,W 150 ST,ON,III,2012-11-06T00:00:00,2012-11-06T00:00:00, ,R,1,Bike-Friendly Parking, 
797,78685,E TREMONT AVE,2,II,MONTEREY AVE,SOUTHERN BLVD,ON,II,2016-06-03T00:00:00,2016-06-03T00:00:00, ,2,2,Standard,Standard
798,235007,LAURELTON GREENWAY,4,I,147 AV,MERRICK BLVD,OFF,I,2006-09-01T00:00:00,2006-09-01T00:00:00, ,2,2,Greenway,Greenway
799,28389,MAPLE ST,3,II,UTICA AV,FLATBUSH AV,ON,II,2007-06-01T00:00:00,2007-06-01T00:00:00, ,R,1,Standard, 
800,297849,W 51 ST,1,II,BROADWAY,5 AV,ON,II,2012-09-21T00:00:00,2012-09-21T00:00:00, ,R,1,Standard, 
801,112894,HOOVER AVE,4,II,MAIN ST,PARSONS BLVD,ON,II,2017-12-15T00:00:00,2017-12-15T00:00:00, ,R,1,Standard, 
802,145092,BOERUM PL,3,II,ATLANTIC AV,FULTON ST,ON,II,2008-05-01T00:00:00,2008-05-01T00:00:00, ,R,1,Standard, 
803,225797,CARLTON AV,3,II,ATLANTIC AV,FLUSHING AV,ON,II,2007-05-01T00:00:00,2007-05-01T00:00:00, ,L,1, ,Standard
804,43797,THOMAS S BOYLAND ST,3,II,PACIFIC ST,BROADWAY,ON,II,2018-10-03T00:00:00,2018-10-03T00:00:00,Thomas S Boyland St AKA Hopkinson Av,L,1, ,Standard
805,9002957,AMSTERDAM AVE,1,I,72 ST,110 ST,ON,I,2016-12-23T00:00:00,2016-12-23T00:00:00, ,R,1,Protected Path, 
806,129685,34 AV,4,III,CRESCENT ST,47 ST,ON,III,2009-05-01T00:00:00,2009-05-01T00:00:00, ,2,2,Sharrows,Sharrows
807,156126,QUEENS BLVD,4,I,72 ST,WOODHAVEN BLVD,ON,I,2016-12-13T00:00:00,2016-12-13T00:00:00, ,R,1,Protected Path, 
808,22419,CLINTON ST,3,II,HAMILTON AV,TILLARY ST,ON,II,2003-04-01T00:00:00,2003-04-01T00:00:00, ,L,1, ,Standard
809,78808,E TREMONT AVE,2,II,MONTEREY AVE,SOUTHERN BLVD,ON,II,2016-06-03T00:00:00,2016-06-03T00:00:00, ,2,2,Standard,Standard
810,9006478,BOND STREET,3,II,DOUGLASS ST,WYCKOFF ST,ON,II,2014-06-11T00:00:00,2014-06-11T00:00:00, ,L,1, ,Curbside
811,34119,9 AV,1,I,W 59 ST,W 33 ST,ON,I,2012-10-05T00:00:00,2012-10-05T00:00:00, ,L,1, ,Protected Path
812,297521,ROBERTO CLEMENTE PARK GREENWAY,2,I,W 180 ST,W 176 ST,OFF,I,1973-01-01T00:00:00,1973-01-01T00:00:00, ,2,2,Greenway,Greenway
813,111192,C P W 72 APPR,1,I,CENTRAL PARK W,WEST DR,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
814,260397,PARK CIR,3,I,OCEAN PKWY,PROSPECT PARK SW,ON,I,1980-07-01T00:00:00,2018-08-17T00:00:00,"Cross with Ped Signals, upgraded from 1-way to 2-way",2,2,Protected Path,Protected Path
815,161922,MILL STREET,3,III,CLINTON ST,HAMILTON AVE,ON,III,2013-11-19T00:00:00,2013-11-19T00:00:00, ,R,1,Sharrows, 
816,22894,BERKELEY PL,3,II,5 AV,PLAZA ST W,ON,II,2008-06-25T00:00:00,2008-06-25T00:00:00, ,R,1,Standard, 
817,262112,QUEENS BLVD,4,I,72 ST,WOODHAVEN BLVD,ON,I,2016-12-13T00:00:00,2016-12-13T00:00:00, ,R,1,Protected Path, 
818,57590,BOARDWALK,4,I,BEACH 126 St,BEACH 39 ST,OFF,I,1970-01-01T00:00:00,2014-01-01T00:00:00,Boardwalk open 6am-10am: Bicycles allowed at all times except Weekends 10am-6pm May-September,2,2,Boardwalk,Boardwalk
819,30558,WYTHE AV,3,II,ROSS ST,WALLABOUT ST,ON,II,2008-08-19T00:00:00,2008-08-19T00:00:00, ,R,1,Standard, 
820,9001834,STANTON ST,1,II,PITT ST,ELDRIDGE ST,ON,II,2010-05-01T00:00:00,2010-05-01T00:00:00, ,R,1,Curbside, 
821,184430,SAND LA,5,III,FR CAPODANNO BLVD,SOUTH BEACH GREENWAY,ON,III,2011-12-09T00:00:00,2011-12-09T00:00:00, ,R,1,Sharrows, 
822,240074,EAST RIVER ESPLANADE,1,I,E 25 ST,JOHN ST,OFF,I,1998-01-01T00:00:00,1998-01-01T00:00:00, ,2,2,Greenway,Greenway
823,161695,43 ST,3,III,3 AV,2 AV,ON,III,2018-11-30T00:00:00,2018-11-30T00:00:00, ,L,1, ,Sharrows
824,29576,FRANKLIN AV,3,II,WALLABOUT ST,FULTON ST,ON,II,2008-08-19T00:00:00,2008-08-19T00:00:00, ,R,1,Standard, 
825,9002328,W 26 ST,1,I,12 AVE,BROADWAY,ON,I,2018-08-31T00:00:00,2018-08-31T00:00:00, ,L,1, ,Protected Path
826,29440,CLASSON AVE,3,II,STERLING PL,DEAN ST,ON,II,2012-06-08T00:00:00,2017-08-24T00:00:00, ,L,1, ,Standard
827,291713,ALLERTON AV,2,II,KINGSLAND AV,BOSTON RD,ON,II,2009-08-01T00:00:00,2009-08-01T00:00:00, ,L,1, ,Standard
828,312234,HUTCHINSON RIVER GREENWAY,2,I,BRUCKNER EP GREENWAY,SHORE RD GREENWAY,OFF,I,2013-10-31T00:00:00,2013-10-31T00:00:00, ,2,2,Greenway,Greenway
829,34049,W 39 ST,1,III,5 AV,8 AV,ON,III,2012-09-12T00:00:00,2012-09-12T00:00:00, ,R,1,Sharrows, 
